id,dc_code,start_day,end_day,hl_day,discriminator_type
198,3,2017-05-01,2017-05-07,2017-04-26,hlexpectedday
199,3,2017-05-08,2017-05-14,2017-05-03,hlexpectedday
200,3,2017-05-15,2017-05-21,2017-05-10,hlexpectedday
201,3,2017-05-22,2017-05-28,2017-05-17,hlexpectedday
202,3,2017-05-29,2017-06-04,2017-05-24,hlexpectedday
203,3,2017-06-05,2017-06-11,2017-05-31,hlexpectedday
204,3,2017-06-12,2017-06-18,2017-06-07,hlexpectedday
205,3,2017-06-19,2017-06-25,2017-06-14,hlexpectedday
206,3,2017-06-26,2017-07-02,2017-06-21,hlexpectedday
207,3,2017-07-03,2017-07-09,2017-06-28,hlexpectedday
208,3,2017-07-10,2017-07-16,2017-07-05,hlexpectedday
209,3,2017-07-17,2017-07-23,2017-07-12,hlexpectedday
210,3,2017-07-24,2017-07-30,2017-07-19,hlexpectedday
211,3,2017-07-31,2017-08-06,2017-07-26,hlexpectedday
212,3,2017-08-07,2017-08-13,2017-08-02,hlexpectedday
213,3,2017-08-14,2017-08-20,2017-08-09,hlexpectedday
214,3,2017-08-21,2017-08-27,2017-08-16,hlexpectedday
215,3,2017-08-28,2017-09-03,2017-08-23,hlexpectedday
216,3,2017-09-04,2017-09-10,2017-08-30,hlexpectedday
217,3,2017-09-11,2017-09-17,2017-09-06,hlexpectedday
218,3,2017-09-18,2017-09-24,2017-09-13,hlexpectedday
219,3,2017-09-25,2017-10-01,2017-09-20,hlexpectedday
220,3,2017-10-02,2017-10-08,2017-09-27,hlexpectedday
221,3,2017-10-09,2017-10-15,2017-10-04,hlexpectedday
222,3,2017-10-16,2017-10-22,2017-10-11,hlexpectedday
223,3,2017-10-23,2017-10-29,2017-10-18,hlexpectedday
224,3,2017-10-30,2017-11-05,2017-10-25,hlexpectedday
225,3,2017-11-06,2017-11-12,2017-11-01,hlexpectedday
226,3,2017-11-13,2017-11-19,2017-11-08,hlexpectedday
227,3,2017-11-20,2017-11-26,2017-11-15,hlexpectedday
228,3,2017-11-27,2017-12-03,2017-11-22,hlexpectedday
229,3,2017-12-04,2017-12-10,2017-11-29,hlexpectedday
230,3,2017-12-11,2017-12-17,2017-12-06,hlexpectedday
231,3,2017-12-18,2017-12-24,2017-12-13,hlexpectedday
232,3,2017-12-25,2017-12-31,2017-12-20,hlexpectedday
233,3,2018-01-01,2018-01-07,2017-12-27,hlexpectedday
234,3,2018-01-08,2018-01-14,2018-01-03,hlexpectedday
235,3,2018-01-15,2018-01-21,2018-01-10,hlexpectedday
236,3,2018-01-22,2018-01-28,2018-01-17,hlexpectedday
237,3,2018-01-29,2018-02-04,2018-01-24,hlexpectedday
238,3,2018-02-05,2018-02-11,2018-01-31,hlexpectedday
239,3,2018-02-12,2018-02-18,2018-02-07,hlexpectedday
240,3,2018-02-19,2018-02-25,2018-02-14,hlexpectedday
241,3,2018-02-26,2018-03-04,2018-02-21,hlexpectedday
242,3,2018-03-05,2018-03-11,2018-02-28,hlexpectedday
243,3,2018-03-12,2018-03-18,2018-03-07,hlexpectedday
244,3,2018-03-19,2018-03-25,2018-03-14,hlexpectedday
245,3,2018-03-26,2018-04-01,2018-03-21,hlexpectedday
246,3,2018-04-02,2018-04-08,2018-03-28,hlexpectedday
247,4,2016-09-11,2016-09-17,2016-09-07,hlexpectedday
248,4,2016-09-18,2016-09-24,2016-09-14,hlexpectedday
249,4,2016-09-25,2016-10-01,2016-09-21,hlexpectedday
250,4,2016-10-02,2016-10-08,2016-09-28,hlexpectedday
251,4,2016-10-09,2016-10-15,2016-10-05,hlexpectedday
252,4,2016-10-16,2016-10-22,2016-10-12,hlexpectedday
253,4,2016-10-23,2016-10-29,2016-10-19,hlexpectedday
254,4,2016-10-30,2016-11-05,2016-10-26,hlexpectedday
255,4,2016-11-06,2016-11-12,2016-11-02,hlexpectedday
256,4,2016-11-13,2016-11-19,2016-11-09,hlexpectedday
257,4,2016-11-20,2016-11-26,2016-11-16,hlexpectedday
258,4,2016-11-27,2016-12-03,2016-11-23,hlexpectedday
259,4,2016-12-04,2016-12-10,2016-11-30,hlexpectedday
260,4,2016-12-11,2016-12-17,2016-12-07,hlexpectedday
261,4,2016-12-18,2016-12-24,2016-12-14,hlexpectedday
262,4,2016-12-25,2016-12-31,2016-12-21,hlexpectedday
263,4,2017-01-01,2017-01-07,2016-12-28,hlexpectedday
264,4,2017-01-08,2017-01-14,2017-01-04,hlexpectedday
265,4,2017-01-15,2017-01-21,2017-01-11,hlexpectedday
266,4,2017-01-22,2017-01-28,2017-01-18,hlexpectedday
267,4,2017-01-29,2017-02-04,2017-01-25,hlexpectedday
268,4,2017-02-05,2017-02-11,2017-02-01,hlexpectedday
269,4,2017-02-12,2017-02-18,2017-02-08,hlexpectedday
