id,brand_id,item_option_id,output_category_id,order_item_name,order_category_name,order_frontage_size,order_lr,order_with,order_other,output_category,output_part_number1,output_part_number2,output_addition1,output_addition2,output_ek_no,output_base_wheel,output_height,output_width,output_finish,output_grain_direction,output_quantity,output_line,output_color,output_wood_color,output_append_option,output_press_manufacturer_name,output_totte_product,output_selected_color,temporary_id,color_classification,output_grant_line,output_selection_color,line,line_color,end_color,discriminator_type
67,2,MICA4060OPS,,据置引き出し[2020～仕様]：MICA40-60-OPS,引き出し,,,,,,MICA40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
68,2,MICA5060OPS,,据置引き出し[2020～仕様]：MICA50-60-OPS,引き出し,,,,,,MICA50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
69,2,MICA6060OPS,,据置引き出し[2020～仕様]：MICA60-60-OPS,引き出し,,,,,,MICA60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
70,2,MICA7060OPS,,据置引き出し[2020～仕様]：MICA70-60-OPS,引き出し,,,,,,MICA70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
71,2,MICA8060OPS,,据置引き出し[2020～仕様]：MICA80-60-OPS,引き出し,,,,,,MICA80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
72,2,MJSH3040OPS,,樹脂棚板：MJSH30-40-OPS,棚板,,,,,,MJSH30-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
73,2,MJSH3540OPS,,樹脂棚板：MJSH35-40-OPS,棚板,,,,,,MJSH35-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
74,2,MJSH4040OPS,,樹脂棚板：MJSH40-40-OPS,棚板,,,,,,MJSH40-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
75,2,MJSH5040OPS,,樹脂棚板：MJSH50-40-OPS,棚板,,,,,,MJSH50-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
76,2,MJSH6040OPS,,樹脂棚板：MJSH60-40-OPS,棚板,,,,,,MJSH60-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
77,2,MJSH7040OPS,,樹脂棚板：MJSH70-40-OPS,棚板,,,,,,MJSH70-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
78,2,MJSH8040OPS,,樹脂棚板：MJSH80-40-OPS,棚板,,,,,,MJSH80-40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
79,2,MIHD4060OPS,,インセット引き出し・深型[2020～仕様]：MIHD40-60-OPS,引き出し,,,,,,MIHD40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
80,2,MIHD5060OPS,,インセット引き出し・深型[2020～仕様]：MIHD50-60-OPS,引き出し,,,,,,MIHD50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
81,2,MIHD6060OPS,,インセット引き出し・深型[2020～仕様]：MIHD60-60-OPS,引き出し,,,,,,MIHD60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
82,2,MIHD7060OPS,,インセット引き出し・深型[2020～仕様]：MIHD70-60-OPS,引き出し,,,,,,MIHD70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
83,2,MIHD8060OPS,,インセット引き出し・深型[2020～仕様]：MIHD80-60-OPS,引き出し,,,,,,MIHD80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
84,2,MIHS4060OPS,,インセット引き出し・浅型[2020～仕様]：MIHS40-60-OPS,引き出し,,,,,,MIHS40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
85,2,MIHS5060OPS,,インセット引き出し・浅型[2020～仕様]：MIHS50-60-OPS,引き出し,,,,,,MIHS50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
