id,csv_type_id,creator_id,entity_name,field_name,reference_field_name,disp_name,sort_no,enabled,create_date,update_date,discriminator_type
111,3,,Eccube\\Entity\\Shipping,postal_code,,Recipient Postal Code,55,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
112,3,,Eccube\\Entity\\Shipping,Pref,id,Recipient Prefecture (ID),56,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
113,3,,Eccube\\Entity\\Shipping,Pref,name,Recipient Prefecture (Name),57,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
114,3,,Eccube\\Entity\\Shipping,addr01,,Recipient Address 1,58,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
115,3,,Eccube\\Entity\\Shipping,addr02,,Recipient Address 2,59,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
116,3,,Eccube\\Entity\\Shipping,phone_number,,Recipient Phone,60,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
117,3,,Eccube\\Entity\\Shipping,Delivery,id,Delivery Company (ID),61,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
118,3,,Eccube\\Entity\\Shipping,shipping_delivery_name,,Delivery Company (Name),62,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
119,3,,Eccube\\Entity\\Shipping,DeliveryTime,id,Delivery Time ID,63,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
120,3,,Eccube\\Entity\\Shipping,shipping_delivery_time,,Delivery Time (Name),64,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
121,3,,Eccube\\Entity\\Shipping,shipping_delivery_date,,Preferred Delivery Date,65,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
122,3,,Eccube\\Entity\\Shipping,DeliveryFee,id,Shipping Charge ID,66,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
123,3,,Eccube\\Entity\\Shipping,shipping_delivery_fee,,Shipping Charge,67,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
124,3,,Eccube\\Entity\\Shipping,shipping_date,,Shipping Date,68,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
125,3,,Eccube\\Entity\\Shipping,tracking_number,,Tracking No. ,69,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
126,3,,Eccube\\Entity\\Shipping,note,,Delivery Notes,70,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
127,3,,Eccube\\Entity\\Shipping,mail_send_date,,Shipping notice sent on,71,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
128,4,,Eccube\\Entity\\Order,id,,Order ID,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
129,4,,Eccube\\Entity\\Order,order_no,,Order No.,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
130,4,,Eccube\\Entity\\Order,Customer,id,Member ID,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
131,4,,Eccube\\Entity\\Order,name01,,Your Name (Last),4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
132,4,,Eccube\\Entity\\Order,name02,,Your Name (First),5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
133,4,,Eccube\\Entity\\Order,kana01,,Your Name (Last / Phonetic),6,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
134,4,,Eccube\\Entity\\Order,kana02,,Your Name (First / Phonetic),7,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
135,4,,Eccube\\Entity\\Order,company_name,,Company Name,8,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
136,4,,Eccube\\Entity\\Order,postal_code,,Postal Code,9,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
137,4,,Eccube\\Entity\\Order,Pref,id,Prefecture (ID),10,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
138,4,,Eccube\\Entity\\Order,Pref,name,Prefecture (Name),11,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
139,4,,Eccube\\Entity\\Order,addr01,,Address 1,12,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
140,4,,Eccube\\Entity\\Order,addr02,,Address 2,13,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
141,4,,Eccube\\Entity\\Order,email,,Email,14,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
142,4,,Eccube\\Entity\\Order,phone_number,,Phone,15,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
143,4,,Eccube\\Entity\\Order,Sex,id,Gender (ID),16,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
144,4,,Eccube\\Entity\\Order,Sex,name,Gender (Name),17,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
145,4,,Eccube\\Entity\\Order,Job,id,Occupation (ID),18,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
146,4,,Eccube\\Entity\\Order,Job,name,Occupation (Name),19,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
147,4,,Eccube\\Entity\\Order,birth,,Date of Birth,20,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
148,4,,Eccube\\Entity\\Order,note,,Store Staff Notes,21,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
149,4,,Eccube\\Entity\\Order,subtotal,,Subtotal,22,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
150,4,,Eccube\\Entity\\Order,discount,,Discount,23,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
151,4,,Eccube\\Entity\\Order,delivery_fee_total,,Shipping Charge,24,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
152,4,,Eccube\\Entity\\Order,tax,,Tax,25,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
153,4,,Eccube\\Entity\\Order,total,,Total,26,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
154,4,,Eccube\\Entity\\Order,payment_total,,Amount Due,27,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
155,4,,Eccube\\Entity\\Order,OrderStatus,id,Order Status (ID),28,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
156,4,,Eccube\\Entity\\Order,OrderStatus,name,Order Status (Name),29,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
157,4,,Eccube\\Entity\\Order,Payment,id,Payment Method (ID),30,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
